2026-01-05 21:26:21 [INFO] ==== Merge Features Started (run_id=MERGE_20260105_212621) ====
2026-01-05 21:26:21 [INFO] Dry-run mode: False
2026-01-05 21:26:21 [INFO] Creating SQLAlchemy engine...
2026-01-05 21:26:22 [INFO] Connected to Azure SQL successfully.
2026-01-05 21:27:34 [INFO] Inserting batch 82 (100 rows)...
2026-01-05 21:27:34 [INFO] Inserting batch 83 (100 rows)...
2026-01-05 21:27:34 [INFO] Inserting batch 84 (100 rows)...
2026-01-05 21:27:34 [INFO] Inserting batch 85 (100 rows)...
2026-01-05 21:27:34 [INFO] Inserting batch 86 (100 rows)...
2026-01-05 21:27:34 [INFO] Inserting batch 87 (100 rows)...
2026-01-05 21:27:35 [INFO] Inserting batch 88 (100 rows)...
2026-01-05 21:27:35 [INFO] Inserting batch 89 (100 rows)...
2026-01-05 21:27:35 [INFO] Inserting batch 90 (100 rows)...
2026-01-05 21:27:35 [INFO] Inserting batch 91 (100 rows)...
2026-01-05 21:27:35 [INFO] Inserting batch 92 (100 rows)...
2026-01-05 21:27:35 [INFO] Inserting batch 93 (100 rows)...
2026-01-05 21:27:35 [INFO] Inserting batch 94 (100 rows)...
2026-01-05 21:27:35 [INFO] Inserting batch 95 (100 rows)...
2026-01-05 21:27:35 [INFO] Inserting batch 96 (100 rows)...
2026-01-05 21:27:35 [INFO] Inserting batch 97 (100 rows)...
2026-01-05 21:27:36 [INFO] Inserting batch 98 (100 rows)...
2026-01-05 21:27:36 [INFO] Inserting batch 99 (100 rows)...
2026-01-05 21:27:36 [INFO] Inserting batch 100 (100 rows)...
2026-01-05 21:27:36 [INFO] Inserting batch 101 (100 rows)...
2026-01-05 21:27:36 [INFO] Inserting batch 102 (100 rows)...
2026-01-05 21:27:36 [INFO] Inserting batch 103 (100 rows)...
2026-01-05 21:27:36 [INFO] Inserting batch 104 (100 rows)...
2026-01-05 21:27:36 [INFO] Inserting batch 105 (100 rows)...
2026-01-05 21:27:36 [INFO] Inserting batch 106 (100 rows)...
2026-01-05 21:27:36 [INFO] Inserting batch 107 (100 rows)...
2026-01-05 21:27:36 [INFO] Inserting batch 108 (100 rows)...
2026-01-05 21:27:37 [INFO] Inserting batch 109 (100 rows)...
2026-01-05 21:27:37 [INFO] Inserting batch 110 (100 rows)...
2026-01-05 21:27:37 [INFO] Inserting batch 111 (100 rows)...
2026-01-05 21:27:37 [INFO] Inserting batch 112 (100 rows)...
2026-01-05 21:27:37 [INFO] Inserting batch 113 (100 rows)...
2026-01-05 21:27:37 [INFO] Inserting batch 114 (100 rows)...
2026-01-05 21:27:37 [INFO] Inserting batch 115 (100 rows)...
2026-01-05 21:27:37 [INFO] Inserting batch 116 (100 rows)...
2026-01-05 21:27:37 [INFO] Inserting batch 117 (100 rows)...
2026-01-05 21:27:37 [INFO] Inserting batch 118 (100 rows)...
2026-01-05 21:27:37 [INFO] Inserting batch 119 (100 rows)...
2026-01-05 21:27:38 [INFO] Inserting batch 120 (100 rows)...
2026-01-05 21:27:38 [INFO] Inserting batch 121 (100 rows)...
2026-01-05 21:27:38 [INFO] Inserting batch 122 (100 rows)...
2026-01-05 21:27:38 [INFO] Inserting batch 123 (100 rows)...
2026-01-05 21:27:38 [INFO] Inserting batch 124 (100 rows)...
2026-01-05 21:27:38 [INFO] Inserting batch 125 (100 rows)...
2026-01-05 21:27:38 [INFO] Inserting batch 126 (100 rows)...
2026-01-05 21:27:38 [INFO] Inserting batch 127 (100 rows)...
2026-01-05 21:27:38 [INFO] Inserting batch 128 (100 rows)...
2026-01-05 21:27:38 [INFO] Inserting batch 129 (100 rows)...
2026-01-05 21:27:38 [INFO] Inserting batch 130 (100 rows)...
2026-01-05 21:27:39 [INFO] Inserting batch 131 (100 rows)...
2026-01-05 21:27:39 [INFO] Inserting batch 132 (100 rows)...
2026-01-05 21:27:39 [INFO] Inserting batch 133 (100 rows)...
2026-01-05 21:27:39 [INFO] Inserting batch 134 (100 rows)...
2026-01-05 21:27:39 [INFO] Inserting batch 135 (100 rows)...
2026-01-05 21:27:39 [INFO] Inserting batch 136 (100 rows)...
2026-01-05 21:27:39 [INFO] Inserting batch 137 (100 rows)...
2026-01-05 21:27:39 [INFO] Inserting batch 138 (100 rows)...
2026-01-05 21:27:39 [INFO] Inserting batch 139 (100 rows)...
2026-01-05 21:27:39 [INFO] Inserting batch 140 (100 rows)...
2026-01-05 21:27:40 [INFO] Inserting batch 141 (100 rows)...
2026-01-05 21:27:40 [INFO] Inserting batch 142 (100 rows)...
2026-01-05 21:27:40 [INFO] Inserting batch 143 (100 rows)...
2026-01-05 21:27:40 [INFO] Inserting batch 144 (100 rows)...
2026-01-05 21:27:40 [INFO] Inserting batch 145 (100 rows)...
2026-01-05 21:27:40 [INFO] Inserting batch 146 (100 rows)...
2026-01-05 21:27:40 [INFO] Inserting batch 147 (100 rows)...
2026-01-05 21:27:40 [INFO] Inserting batch 148 (100 rows)...
2026-01-05 21:27:40 [INFO] Inserting batch 149 (100 rows)...
2026-01-05 21:27:40 [INFO] Inserting batch 150 (100 rows)...
2026-01-05 21:27:40 [INFO] Inserting batch 151 (100 rows)...
2026-01-05 21:27:41 [INFO] Inserting batch 152 (100 rows)...
2026-01-05 21:27:41 [INFO] Inserting batch 153 (100 rows)...
2026-01-05 21:27:41 [INFO] Inserting batch 154 (100 rows)...
2026-01-05 21:27:41 [INFO] Inserting batch 155 (100 rows)...
2026-01-05 21:27:41 [INFO] Inserting batch 156 (100 rows)...
2026-01-05 21:27:41 [INFO] Inserting batch 157 (100 rows)...
2026-01-05 21:27:41 [INFO] Inserting batch 158 (100 rows)...
2026-01-05 21:27:41 [INFO] Inserting batch 159 (100 rows)...
2026-01-05 21:27:41 [INFO] Inserting batch 160 (100 rows)...
2026-01-05 21:27:41 [INFO] Inserting batch 161 (100 rows)...
2026-01-05 21:27:41 [INFO] Inserting batch 162 (100 rows)...
2026-01-05 21:27:42 [INFO] Inserting batch 163 (100 rows)...
2026-01-05 21:27:42 [INFO] Inserting batch 164 (100 rows)...
2026-01-05 21:27:42 [INFO] Inserting batch 165 (100 rows)...
2026-01-05 21:27:42 [INFO] Inserting batch 166 (100 rows)...
2026-01-05 21:27:42 [INFO] Inserting batch 167 (100 rows)...
2026-01-05 21:27:42 [INFO] Inserting batch 168 (100 rows)...
2026-01-05 21:27:42 [INFO] Inserting batch 169 (100 rows)...
2026-01-05 21:27:42 [INFO] Inserting batch 170 (100 rows)...
2026-01-05 21:27:42 [INFO] Inserting batch 171 (100 rows)...
2026-01-05 21:27:43 [INFO] Inserting batch 172 (100 rows)...
2026-01-05 21:27:43 [INFO] Inserting batch 173 (100 rows)...
2026-01-05 21:27:43 [INFO] Inserting batch 174 (100 rows)...
2026-01-05 21:27:43 [INFO] Inserting batch 175 (100 rows)...
2026-01-05 21:27:43 [INFO] Inserting batch 176 (100 rows)...
2026-01-05 21:27:43 [INFO] Inserting batch 177 (100 rows)...
2026-01-05 21:27:43 [INFO] Inserting batch 178 (100 rows)...
2026-01-05 21:27:43 [INFO] Inserting batch 179 (100 rows)...
2026-01-05 21:27:43 [INFO] Inserting batch 180 (100 rows)...
2026-01-05 21:27:43 [INFO] Inserting batch 181 (100 rows)...
2026-01-05 21:27:44 [INFO] Inserting batch 182 (100 rows)...
2026-01-05 21:27:44 [INFO] Inserting batch 183 (100 rows)...
2026-01-05 21:27:44 [INFO] Inserting batch 184 (100 rows)...
2026-01-05 21:27:44 [INFO] Inserting batch 185 (100 rows)...
2026-01-05 21:27:44 [INFO] Inserting batch 186 (100 rows)...
2026-01-05 21:27:44 [INFO] Inserting batch 187 (100 rows)...
2026-01-05 21:27:44 [INFO] Inserting batch 188 (100 rows)...
2026-01-05 21:27:44 [INFO] Inserting batch 189 (100 rows)...
2026-01-05 21:27:44 [INFO] Inserting batch 190 (100 rows)...
2026-01-05 21:27:44 [INFO] Inserting batch 191 (100 rows)...
2026-01-05 21:27:44 [INFO] Inserting batch 192 (100 rows)...
2026-01-05 21:27:45 [INFO] Inserting batch 193 (100 rows)...
2026-01-05 21:27:45 [INFO] Inserting batch 194 (100 rows)...
2026-01-05 21:27:45 [INFO] Inserting batch 195 (100 rows)...
2026-01-05 21:27:45 [INFO] Inserting batch 196 (100 rows)...
2026-01-05 21:27:45 [INFO] Inserting batch 197 (100 rows)...
2026-01-05 21:27:45 [INFO] Inserting batch 198 (100 rows)...
2026-01-05 21:27:45 [INFO] Inserting batch 199 (100 rows)...
2026-01-05 21:27:45 [INFO] Inserting batch 200 (100 rows)...
2026-01-05 21:27:45 [INFO] Inserting batch 201 (100 rows)...
2026-01-05 21:27:45 [INFO] Inserting batch 202 (100 rows)...
2026-01-05 21:27:45 [INFO] Inserting batch 203 (100 rows)...
2026-01-05 21:27:45 [INFO] Inserting batch 204 (100 rows)...
2026-01-05 21:27:46 [INFO] Inserting batch 205 (100 rows)...
2026-01-05 21:27:46 [INFO] Inserting batch 206 (100 rows)...
2026-01-05 21:27:46 [INFO] Inserting batch 207 (100 rows)...
2026-01-05 21:27:46 [INFO] Inserting batch 208 (100 rows)...
2026-01-05 21:27:46 [INFO] Inserting batch 209 (100 rows)...
2026-01-05 21:27:46 [INFO] Inserting batch 210 (100 rows)...
2026-01-05 21:27:46 [INFO] Inserting batch 211 (100 rows)...
2026-01-05 21:27:46 [INFO] Inserting batch 212 (100 rows)...
2026-01-05 21:27:46 [INFO] Inserting batch 213 (100 rows)...
2026-01-05 21:27:46 [INFO] Inserting batch 214 (100 rows)...
2026-01-05 21:27:46 [INFO] Inserting batch 215 (100 rows)...
2026-01-05 21:27:47 [INFO] Inserting batch 216 (100 rows)...
2026-01-05 21:27:47 [INFO] Inserting batch 217 (100 rows)...
2026-01-05 21:27:47 [INFO] Inserting batch 218 (100 rows)...
2026-01-05 21:27:47 [INFO] Inserting batch 219 (100 rows)...
2026-01-05 21:27:47 [INFO] Inserting batch 220 (100 rows)...
2026-01-05 21:27:47 [INFO] Inserting batch 221 (100 rows)...
2026-01-05 21:27:47 [INFO] Inserting batch 222 (100 rows)...
2026-01-05 21:27:47 [INFO] Inserting batch 223 (100 rows)...
2026-01-05 21:27:47 [INFO] Inserting batch 224 (100 rows)...
2026-01-05 21:27:47 [INFO] Inserting batch 225 (100 rows)...
2026-01-05 21:27:48 [INFO] Inserting batch 226 (100 rows)...
2026-01-05 21:27:48 [INFO] Inserting batch 227 (100 rows)...
2026-01-05 21:27:48 [INFO] Inserting batch 228 (100 rows)...
2026-01-05 21:27:48 [INFO] Inserting batch 229 (100 rows)...
2026-01-05 21:27:48 [INFO] Inserting batch 230 (100 rows)...
2026-01-05 21:27:48 [INFO] Inserting batch 231 (100 rows)...
2026-01-05 21:27:48 [INFO] Inserting batch 232 (100 rows)...
2026-01-05 21:27:48 [INFO] Inserting batch 233 (100 rows)...
2026-01-05 21:27:48 [INFO] Inserting batch 234 (100 rows)...
2026-01-05 21:27:48 [INFO] Inserting batch 235 (100 rows)...
2026-01-05 21:27:48 [INFO] Inserting batch 236 (100 rows)...
2026-01-05 21:27:48 [INFO] Inserting batch 237 (100 rows)...
2026-01-05 21:27:49 [INFO] Inserting batch 238 (100 rows)...
2026-01-05 21:27:49 [INFO] Inserting batch 239 (100 rows)...
2026-01-05 21:27:49 [INFO] Inserting batch 240 (100 rows)...
2026-01-05 21:27:49 [INFO] Inserting batch 241 (100 rows)...
2026-01-05 21:27:49 [INFO] Inserting batch 242 (100 rows)...
2026-01-05 21:27:49 [INFO] Inserting batch 243 (100 rows)...
2026-01-05 21:27:49 [INFO] Inserting batch 244 (100 rows)...
2026-01-05 21:27:49 [INFO] Inserting batch 245 (100 rows)...
2026-01-05 21:27:49 [INFO] Inserting batch 246 (100 rows)...
